block,gate,highest_row,highest_grave
1,264/W Left,12,19
1,264/W Right,12,19
1,586/W Left,11,9
1,586/W Right,12,9
1,586A/W Left,1,5
1,586A/W Right,1,1
1,586B/W,2,23
1,587/W Left,10,31
1,587/W Right,11,31
1,99/S Left,10,10
1,nan Left,5,4
1,nan Right,1,2
2,266/N Left,18,20
2,266/N Right,19,16
2,269/N Left,25,10
2,269/N Right,21,9
2,270/N Left,21,14
2,270/N Right,20,14
2,270/S Left,19,12
2,270/S Right,20,7
2,271/NS Left,26,14
2,271/NS Right,26,15
2,274/N Left,19,10
2,274/N Right,19,10
2,276/N Left,23,28
2,276/N Right,35,99
2,277/N Left,17,6
2,277/N Right,17,6
2,278/W Left,27,34
2,278/W Right,15,35
2,574/S Left,12,8
2,574/S Right,11,7
2,575/S Left,4,15
2,575/S Right,3,16
2,578A/S Left,4,3
2,578A/S Right,6,3
2,578B/S Left,4,6
2,578B/S Right,5,6
2,579/S Left,2,11
2,579/S Right,5,3
2,584/S Left,15,20
2,584/S Right,13,20
2,585/E Left,8,14
2,585/E Right,15,14
2,nan Left,1,3
2,nan Right,6,9
3,572/W Left,14,35
3,572/W Right,15,46
3,573/N Left,14,10
3,573/N Right,14,10
3,576/NS Left,19,13
3,576/NS Right,19,14
3,578/N Left,14,9
3,578/N Right,13,6
3,580/N Left,4,21
3,580/N Right,6,20
3,581/N Left,18,10
3,581/N Right,18,11
3,582/N Left,12,18
3,582/N Right,12,13
3,583/N Left,11,7
3,583/N Right,11,9
3,588/E Left,12,27
3,588/E Right,10,9
3,594/S Left,17,13
3,594/S Right,17,17
3,595/S Left,9,10
3,595/S Right,9,12
3,597/S Left,14,6
3,597/S Right,14,6
3,598/S Left,13,10
3,598/S Right,14,10
3,600A/S Right,12,6
3,600B/S Left,13,5
3,600B/S Right,12,5
3,602/S Left,14,10
3,602/S Right,14,10
3,nan Left,3,5
3,nan Right,11,6
4,589/N Left,10,12
4,589/N Right,10,12
4,590/N Left,12,6
4,590/N Right,11,6
4,591/N Left,11,13
4,591/N Right,11,13
4,592/N Left,9,13
4,592/N Right,11,16
4,596/N Left,11,17
4,596/N Right,11,17
4,599/N Left,11,24
4,599/N Right,10,22
4,601/N Left,12,23
4,601/N Right,12,23
4,603/N Left,8,32
4,603/N Right,8,34
4,604/N Left,11,6
4,604/N Right,11,7
4,605/N Left,11,13
4,605/N Right,35,13
4,606/N Left,11,19
4,606/N Right,10,17
4,nan Left,11,21
5,566/W Left,11,8
5,566/W Right,11,8
5,567/W Left,8,21
5,567/W Right,10,10
5,569/N Left,12,6
5,569/N Right,15,7
5,570/N Left,2,16
5,570/N Right,6,15
5,571/N Left,4,7
5,571/N Right,4,34
5,609/W Left,39,18
5,609/W Right,13,16
6,565/N Left,12,143
6,565/N Right,13,17
6,607/E Left,9,21
6,607/E Right,10,20
6,608/E Left,11,5
6,608/E Right,64,7
6,nan,8,21
7,550/W Left,6,4
7,550/W Right,6,5
7,551/W Left,5,3
7,551/W Right,9,4
7,552/W Left,5,3
7,552/W Right,5,3
7,553/N Left,10,9
